"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2017","1.67","1.66","1.74","1.34","1.87M","0.60%"
"11/19/2017","1.87","1.67","1.96","1.54","631.81K","11.98%"
"11/26/2017","2.08","1.87","2.14","1.55","1.53M","11.23%"
"12/03/2017","2.65","2.08","2.84","2.04","1.38M","27.40%"
"12/10/2017","4.64","2.65","4.72","2.13","2.72M","75.09%"
"12/17/2017","4.40","4.64","6.70","3.25","4.35M","-5.17%"
"12/24/2017","7.59","4.40","11.30","3.80","8.13M","72.50%"
"12/31/2017","22.60","7.59","23.60","7.52","4.17M","197.76%"
"01/07/2018","22.09","22.60","24.64","13.90","7.26M","-2.26%"
"01/14/2018","16.11","22.10","23.23","9.40","15.26M","-27.09%"
"01/21/2018","13.40","16.20","16.26","11.64","8.08M","-16.80%"
"01/28/2018","9.75","13.40","14.01","7.31","11.67M","-27.22%"
"02/04/2018","9.24","9.73","10.35","0.00","23.47M","-5.26%"
"02/11/2018","11.66","9.24","11.85","8.03","17.35M","26.23%"
"02/18/2018","9.09","11.68","11.68","8.62","12.93M","-22.09%"
"02/25/2018","10.24","9.09","11.17","8.90","8.71M","12.68%"
"03/04/2018","7.65","10.24","10.45","7.07","10.97M","-25.29%"
"03/11/2018","8.94","7.65","10.97","7.33","29.85M","16.86%"
"03/18/2018","13.17","8.92","14.93","7.80","35.41M","47.35%"
"03/25/2018","11.04","13.17","14.25","9.71","30.54M","-16.16%"
"04/01/2018","12.50","11.05","13.96","10.32","29.57M","13.18%"
"04/08/2018","13.27","12.50","13.88","11.52","26.69M","6.12%"
"04/15/2018","13.35","13.27","13.74","11.51","21.44M","0.62%"
"04/22/2018","15.20","13.35","15.90","12.80","27.88M","13.85%"
"04/29/2018","14.43","15.20","15.43","13.50","15.24M","-5.03%"
"05/06/2018","12.93","14.44","15.04","12.15","12.17M","-10.39%"
"05/13/2018","14.33","13.03","16.23","11.88","16.52M","10.78%"
"05/20/2018","12.73","14.33","14.84","12.10","13.64M","-11.15%"
"05/27/2018","14.68","12.79","14.88","11.63","12.19M","15.30%"
"06/03/2018","16.03","14.68","17.44","13.62","18.41M","9.21%"
"06/10/2018","15.76","16.02","16.15","13.40","19.41M","-1.68%"
"06/17/2018","15.58","15.76","17.38","15.18","19.18M","-1.17%"
"06/24/2018","14.74","15.58","15.72","13.36","15.46M","-5.39%"
"07/01/2018","14.13","14.67","14.81","13.15","9.09M","-4.09%"
"07/08/2018","12.09","14.15","14.18","11.81","8.98M","-14.48%"
"07/15/2018","12.18","12.09","13.90","11.82","12.17M","0.81%"
"07/22/2018","14.66","12.18","14.88","11.64","11.17M","20.29%"
"07/29/2018","13.85","14.66","14.75","13.00","10.51M","-5.50%"
"08/05/2018","11.67","13.85","13.96","11.31","9.21M","-15.74%"
"08/12/2018","9.88","11.67","11.86","8.54","9.72M","-15.34%"
"08/19/2018","10.10","9.88","10.30","9.19","5.26M","2.23%"
"08/26/2018","11.48","10.10","11.57","9.73","7.47M","13.66%"
"09/02/2018","9.52","11.48","11.57","9.28","5.10M","-17.05%"
"09/09/2018","10.06","9.52","10.22","9.01","5.63M","5.66%"
"09/16/2018","10.25","10.06","10.60","9.22","7.54M","1.90%"
"09/23/2018","10.00","10.25","10.43","9.37","6.04M","-2.47%"
"09/30/2018","10.41","10.01","10.77","9.82","9.82M","4.08%"
"10/07/2018","9.68","10.41","10.69","9.23","7.72M","-6.98%"
"10/14/2018","9.92","9.68","10.98","9.52","9.43M","2.49%"
"10/21/2018","9.73","9.91","10.04","9.70","7.61M","-1.98%"
"10/28/2018","9.58","9.73","9.76","9.29","5.54M","-1.49%"
"11/04/2018","9.59","9.59","9.98","9.50","5.79M","0.10%"
"11/11/2018","7.85","9.59","9.62","7.69","5.44M","-18.15%"
"11/18/2018","5.20","7.85","8.14","4.79","5.89M","-33.74%"
"11/25/2018","5.28","5.20","5.63","4.54","6.11M","1.58%"
"12/02/2018","4.63","5.28","6.62","4.13","15.39M","-12.43%"
"12/09/2018","4.55","4.63","5.14","4.43","7.66M","-1.70%"
"12/16/2018","5.83","4.55","5.88","4.51","11.60M","28.30%"
"12/23/2018","5.65","5.83","6.47","5.10","10.94M","-3.17%"
"12/30/2018","5.97","5.66","6.24","5.56","12.33M","5.61%"
"01/06/2019","5.86","5.97","6.85","5.66","20.70M","-1.75%"
"01/13/2019","6.53","5.86","6.64","5.38","14.60M","11.41%"
"01/20/2019","6.95","6.53","6.98","6.24","14.13M","6.36%"
"01/27/2019","6.87","6.95","7.20","5.96","21.06M","-1.11%"
"02/03/2019","8.90","6.87","8.92","6.62","30.74M","29.50%"
"02/10/2019","9.10","8.90","9.78","8.41","30.17M","2.29%"
"02/17/2019","10.73","9.10","11.27","8.91","23.67M","17.87%"
"02/24/2019","11.75","10.73","11.80","9.35","28.35M","9.55%"
"03/03/2019","14.47","11.75","15.52","10.88","39.22M","23.11%"
"03/10/2019","15.95","14.47","16.00","13.87","23.67M","10.29%"
"03/17/2019","15.15","15.96","15.96","13.90","20.65M","-5.05%"
"03/24/2019","16.97","15.15","17.45","14.68","22.47M","12.01%"
"03/31/2019","19.06","16.97","20.00","16.75","21.31M","12.31%"
"04/07/2019","18.62","19.07","19.21","16.32","16.29M","-2.30%"
"04/14/2019","24.89","18.62","25.49","18.43","21.03M","33.67%"
"04/21/2019","22.42","24.89","24.89","20.97","21.73M","-9.91%"
"04/28/2019","22.90","22.42","24.09","21.34","16.53M","2.12%"
"05/05/2019","20.85","22.90","23.17","18.33","15.21M","-8.94%"
"05/12/2019","28.87","20.85","29.10","20.13","26.06M","38.45%"
"05/19/2019","35.12","28.87","35.47","27.60","29.83M","21.65%"
"05/26/2019","33.30","35.07","35.08","30.38","26.10M","-5.17%"
"06/02/2019","31.70","33.30","33.75","28.73","20.66M","-4.79%"
"06/09/2019","32.71","31.70","36.25","29.75","41.05M","3.16%"
"06/16/2019","37.96","32.71","39.54","31.78","48.97M","16.06%"
"06/23/2019","35.49","37.97","38.46","33.28","27.47M","-6.52%"
"06/30/2019","32.61","35.49","35.51","30.59","19.94M","-8.10%"
"07/07/2019","31.46","32.61","34.24","28.37","20.18M","-3.52%"
"07/14/2019","31.07","31.47","31.52","24.18","41.84M","-1.24%"
"07/21/2019","27.70","31.07","32.54","27.27","25.35M","-10.86%"
"07/28/2019","27.74","27.71","28.77","26.23","17.40M","0.14%"
"08/04/2019","29.60","27.74","31.78","27.13","20.37M","6.72%"
"08/11/2019","27.45","29.63","30.55","26.85","22.29M","-7.26%"
"08/18/2019","26.44","27.45","29.20","26.09","17.55M","-3.67%"
"08/25/2019","21.22","26.44","27.18","21.17","19.57M","-19.74%"
"09/01/2019","22.48","21.22","23.58","21.16","21.25M","5.93%"
"09/08/2019","21.10","22.48","22.83","19.96","16.78M","-6.14%"
"09/15/2019","21.14","21.10","23.16","20.19","21.43M","0.18%"
"09/22/2019","15.75","21.15","22.80","14.65","20.68M","-25.51%"
"09/29/2019","15.71","15.75","16.17","14.79","16.17M","-0.21%"
"10/06/2019","17.20","15.72","17.96","15.22","27.13M","9.43%"
"10/13/2019","18.17","17.20","19.13","17.12","33.33M","5.64%"
"10/20/2019","18.93","18.17","19.66","15.65","33.90M","4.20%"
"10/27/2019","20.19","18.93","21.14","18.52","33.01M","6.68%"
"11/03/2019","19.76","20.19","20.88","19.39","26.92M","-2.17%"
"11/10/2019","20.10","19.76","21.65","19.72","24.94M","1.76%"
"11/17/2019","16.29","20.10","20.10","14.56","36.34M","-18.98%"
"11/24/2019","15.68","16.29","16.52","14.15","38.42M","-3.76%"
"12/01/2019","15.63","15.67","15.84","14.93","35.06M","-0.31%"
"12/08/2019","14.53","15.63","15.91","14.35","30.80M","-7.00%"
"12/15/2019","13.34","14.53","14.65","12.15","36.63M","-8.23%"
