Date,Price,Open,High,Low,Volume,Change %
2017-11-09,1.99,1.99,2.2,1.9,283350.0,0.0
2017-11-10,1.71,1.99,2.02,1.6,483230.0,-14.07
2017-11-11,1.66,1.71,1.93,1.58,256709.99999999997,-2.92
2017-11-12,1.49,1.66,1.7,1.34,456480.0,-10.24
2017-11-13,1.68,1.49,1.74,1.49,166010.0,12.75
2017-11-14,1.59,1.68,1.74,1.53,173130.0,-5.36
2017-11-15,1.55,1.59,1.68,1.49,291610.0,-2.52
2017-11-16,1.56,1.55,1.67,1.51,193730.0,0.65
2017-11-17,1.5,1.56,1.58,1.49,419400.0,-3.85
2017-11-18,1.67,1.5,1.67,1.49,168620.0,11.33
2017-11-19,1.6,1.67,1.69,1.58,172570.0,-4.19
2017-11-20,1.64,1.6,1.65,1.56,158700.0,2.5
2017-11-21,1.59,1.64,1.64,1.54,404200.0,-3.05
2017-11-22,1.62,1.59,1.62,1.56,179150.0,1.89
2017-11-23,1.57,1.62,1.62,1.54,178860.0,-3.09
2017-11-24,1.73,1.57,1.82,1.54,631810.0,10.19
2017-11-25,1.87,1.73,1.96,1.68,462640.0,8.09
2017-11-26,1.84,1.87,1.91,1.76,192600.0,-1.6
2017-11-27,1.95,1.84,1.95,1.74,472120.0,5.98
2017-11-28,1.92,1.95,1.95,1.8,357690.0,-1.54
2017-11-29,1.76,1.92,2.05,1.55,901090.0,-8.33
2017-11-30,1.95,1.76,2.04,1.71,736320.0,10.8
2017-12-01,2.05,1.95,2.14,1.88,308390.0,5.13
2017-12-02,2.08,2.05,2.12,1.98,240590.0,1.46
2017-12-03,2.26,2.08,2.4,2.04,341640.0,8.65
2017-12-04,2.55,2.26,2.59,2.26,369610.0,12.83
2017-12-05,2.61,2.55,2.75,2.5,418310.0,2.35
2017-12-06,2.51,2.61,2.8,2.33,369570.0,-3.83
2017-12-07,2.66,2.51,2.84,2.4,520770.0,5.98
2017-12-08,2.79,2.66,2.8,2.21,641800.0,4.89
2017-12-09,2.65,2.79,2.81,2.18,470090.0,-5.02
2017-12-10,2.46,2.65,2.66,2.13,548970.0,-7.17
2017-12-11,2.69,2.46,2.78,2.45,378450.0,9.35
2017-12-12,2.55,2.69,2.74,2.45,534100.0,-5.2
2017-12-13,2.72,2.55,2.74,2.27,669430.0,6.67
2017-12-14,3.15,2.72,3.15,2.63,871680.0,15.81
2017-12-15,4.12,3.15,4.4,2.99,896220.0,30.79
2017-12-16,4.64,4.12,4.72,3.82,767290.0,12.62
2017-12-17,6.0,4.64,6.7,4.6,1520000.0,29.31
2017-12-18,6.0,6.0,6.1,4.75,1410000.0,0.0
2017-12-19,5.7,6.0,6.46,5.27,1740000.0,-5.0
2017-12-20,5.15,5.7,5.7,4.68,1380000.0,-9.65
2017-12-21,5.16,5.15,5.69,4.42,984450.0,0.19
2017-12-22,4.29,5.16,5.2,3.25,1570000.0,-16.86
2017-12-23,4.4,4.29,5.0,4.17,945700.0,2.56
2017-12-24,5.18,4.4,5.2,3.8,1030000.0,17.73
2017-12-25,6.46,5.18,6.88,5.03,1440000.0,24.71
2017-12-26,9.25,6.46,10.79,6.35,2970000.0,43.19
2017-12-27,10.07,9.25,11.3,8.26,2730000.0,8.86
2017-12-28,9.25,10.07,10.25,7.8,2520000.0,-8.14
2017-12-29,8.71,9.25,9.8,8.39,1370000.0,-5.84
2017-12-30,7.59,8.71,8.71,6.93,1610000.0,-12.86
2017-12-31,8.53,7.59,8.8,7.52,1260000.0,12.38
2018-01-01,8.45,8.53,8.7,7.8,642510.0,-0.94
2018-01-02,8.72,8.45,9.11,8.09,1230000.0,3.2
2018-01-03,9.3,8.72,9.47,8.27,926410.0,6.65
2018-01-04,9.14,9.3,9.46,8.56,918410.0,-1.72
2018-01-05,14.88,9.14,16.82,8.97,2600000.0,62.8
2018-01-06,22.6,14.89,23.6,14.7,2660000.0,51.88
2018-01-07,18.59,22.6,22.66,18.05,1380000.0,-17.74
2018-01-08,18.0,18.59,19.3,14.0,2000000.0,-3.17
2018-01-09,17.4,18.0,20.61,16.43,1260000.0,-3.33
2018-01-10,17.48,17.4,17.56,14.6,1130000.0,0.46
2018-01-11,21.33,17.5,23.0,13.9,3540000.0,22.04
2018-01-12,22.05,20.72,24.64,19.28,2920000.0,3.38
2018-01-13,22.09,22.37,23.5,21.1,1080000.0,0.17
2018-01-14,20.45,22.1,22.1,18.27,1380000.0,-7.41
2018-01-15,19.44,20.42,23.23,19.05,2290000.0,-4.96
2018-01-16,13.0,19.44,19.44,10.0,9930000.0,-33.12
2018-01-17,14.1,13.01,15.66,9.4,9970000.0,8.5
2018-01-18,14.14,14.3,15.9,13.1,6700000.0,0.25
2018-01-19,14.93,14.02,15.48,13.5,3000000.0,5.59
2018-01-20,16.11,14.95,16.65,14.82,2620000.0,7.88
2018-01-21,14.13,16.2,16.26,13.05,3320000.0,-12.24
2018-01-22,12.9,14.16,14.48,11.66,2880000.0,-8.73
2018-01-23,13.1,12.9,13.88,11.64,2340000.0,1.57
2018-01-24,13.77,13.1,14.29,12.6,1950000.0,5.07
2018-01-25,13.19,13.8,14.15,13.01,1430000.0,-4.18
2018-01-26,13.17,13.19,13.6,12.01,1790000.0,-0.16
2018-01-27,13.4,13.13,13.55,12.85,992880.0,1.75
2018-01-28,13.77,13.4,14.01,13.3,1380000.0,2.79
2018-01-29,12.81,13.77,13.87,12.74,857950.0,-6.96
2018-01-30,11.47,12.81,12.84,11.11,1320000.0,-10.46
2018-01-31,11.31,11.47,11.5,10.55,947120.0,-1.41
2018-02-01,9.51,11.31,11.45,8.66,2170000.0,-15.9
2018-02-02,9.75,9.51,10.7,7.31,4019999.9999999995,2.47
2018-02-03,9.75,9.75,10.32,8.58,2350000.0,0.0
2018-02-04,8.4,9.73,9.75,8.04,2020000.0,-13.87
