Date,Price,Open,High,Low,Volume,Change %
2017-01-01,995.4,963.4,1001.6,956.1,41150.0,3.33
2017-01-02,1017.0,995.4,1031.7,990.2,64950.0,2.17
2017-01-03,1033.3,1017.0,1035.5,1006.5,54790.0,1.6
2017-01-04,1135.4,1033.3,1148.5,1022.3,156270.0,9.88
2017-01-05,989.3,1135.4,1150.6,874.5,240010.0,-12.86
2017-01-06,886.2,989.3,1027.4,852.5,194290.0,-10.43
2017-01-07,888.9,886.2,900.9,806.7,130660.0,0.31
2017-01-08,900.9,888.9,936.1,875.8,76910.0,1.35
2017-01-09,899.8,900.9,910.5,870.9,62580.0,-0.12
2017-01-10,904.4,899.8,911.3,890.1,53710.0,0.51
2017-01-11,785.4,904.4,917.7,751.6,194440.0,-13.15
2017-01-12,810.1,785.4,828.2,739.5,120240.0,3.14
2017-01-13,824.8,810.1,835.0,771.0,89860.0,1.82
2017-01-14,819.6,824.8,838.9,808.3,44210.0,-0.63
2017-01-15,821.2,819.6,826.4,808.6,24400.0,0.19
2017-01-16,827.3,821.2,836.7,817.7,33220.0,0.75
2017-01-17,899.7,827.3,906.4,825.0,82210.0,8.74
2017-01-18,872.0,899.7,913.7,845.9,69260.0,-3.07
2017-01-19,895.2,872.0,905.3,870.7,58440.0,2.66
2017-01-20,892.9,895.2,901.5,878.9,38870.0,-0.26
2017-01-21,919.8,892.9,928.9,889.5,40380.0,3.02
2017-01-22,918.8,919.8,938.4,888.6,47930.0,-0.11
2017-01-23,921.5,918.8,928.0,910.8,32740.000000000004,0.29
2017-01-24,893.8,921.5,925.6,889.2,58870.0,-3.01
2017-01-25,894.4,893.8,905.7,883.6,37900.0,0.07
2017-01-26,915.6,894.4,919.3,893.5,33800.0,2.36
2017-01-27,918.0,915.6,922.6,907.9,30970.0,0.27
2017-01-28,918.5,918.0,921.9,912.8,14310.0,0.05
2017-01-29,914.5,918.5,922.4,912.7,11050.0,-0.43
2017-01-30,920.7,914.5,922.3,911.5,19060.0,0.68
2017-01-31,965.5,920.7,967.5,917.4,54670.0,4.86
2017-02-01,982.4,965.5,986.6,959.8,45220.0,1.75
2017-02-02,1004.0,982.4,1009.1,973.5,50860.0,2.19
2017-02-03,1013.0,1004.0,1023.7,989.2,61670.0,0.9
2017-02-04,1031.8,1013.0,1041.0,1000.4,39460.0,1.86
2017-02-05,1016.1,1031.8,1033.7,1004.0,31060.0,-1.53
2017-02-06,1024.7,1016.1,1030.6,1010.8,32020.000000000004,0.84
2017-02-07,1049.6,1024.7,1054.1,1019.9,39550.0,2.43
2017-02-08,1055.5,1049.6,1069.2,1020.3,65150.00000000001,0.56
2017-02-09,979.0,1055.5,1073.0,924.7,146750.0,-7.25
2017-02-10,997.6,979.0,1005.6,947.0,62130.0,1.91
2017-02-11,1008.3,997.6,1014.3,983.9,28320.0,1.07
2017-02-12,996.5,1008.3,1007.8,992.5,14750.0,-1.17
2017-02-13,995.4,996.5,1007.6,975.1,32910.0,-0.12
2017-02-14,1008.3,995.4,1013.8,986.5,39540.0,1.3
2017-02-15,1008.2,1008.3,1010.9,999.7,23360.0,-0.01
2017-02-16,1031.9,1008.2,1040.3,1007.4,38080.0,2.35
2017-02-17,1049.4,1031.9,1057.4,1025.9,45710.0,1.69
2017-02-18,1052.3,1049.4,1063.2,1044.7,25360.0,0.27
2017-02-19,1048.9,1052.3,1056.5,1037.7,17950.0,-0.32
2017-02-20,1077.6,1048.9,1081.8,1041.0,31010.0,2.73
2017-02-21,1119.0,1077.6,1123.0,1073.5,57050.0,3.85
2017-02-22,1120.5,1119.0,1132.3,1094.8,47910.0,0.13
2017-02-23,1171.9,1120.5,1181.6,1113.5,65740.0,4.59
2017-02-24,1176.5,1171.9,1211.7,1092.4,108170.0,0.39
2017-02-25,1149.1,1176.5,1180.0,1116.2,45860.0,-2.33
2017-02-26,1171.6,1149.1,1177.5,1130.6,30770.0,1.96
2017-02-27,1188.8,1171.6,1195.8,1164.3,35470.0,1.47
2017-02-28,1189.3,1188.8,1208.2,1175.8,50580.0,0.04
2017-03-01,1222.7,1189.3,1225.0,1154.6,51150.0,2.81
2017-03-02,1255.5,1222.7,1287.0,1212.0,78490.0,2.68
2017-03-03,1283.3,1255.5,1291.3,1250.8,67280.0,2.22
2017-03-04,1264.3,1283.3,1285.8,1228.7,38420.0,-1.48
2017-03-05,1271.2,1264.3,1273.3,1242.1,25430.0,0.55
2017-03-06,1277.0,1271.2,1280.6,1261.0,31030.0,0.46
2017-03-07,1232.7,1277.0,1280.9,1148.7,87720.0,-3.47
2017-03-08,1147.0,1232.7,1242.0,1136.9,97880.0,-6.95
2017-03-09,1191.3,1147.0,1207.0,1129.3,59860.0,3.87
2017-03-10,1112.4,1191.3,1330.4,988.7,190470.0,-6.63
2017-03-11,1179.2,1112.4,1202.7,1104.8,70750.0,6.01
2017-03-12,1225.1,1179.2,1235.5,1160.9,44410.0,3.89
2017-03-13,1238.2,1225.1,1245.6,1205.6,60460.0,1.07
2017-03-14,1243.1,1238.2,1255.5,1218.4,45140.0,0.4
2017-03-15,1253.4,1243.1,1256.9,1236.4,43590.0,0.83
2017-03-16,1172.9,1253.4,1260.2,1119.0,132770.0,-6.43
2017-03-17,1071.7,1172.9,1174.9,1063.5,163740.0,-8.63
2017-03-18,971.4,1071.7,1103.6,940.2,210420.0,-9.36
2017-03-19,1022.6,971.4,1063.7,967.3,106450.0,5.27
2017-03-20,1047.5,1022.6,1057.5,1005.0,61430.0,2.44
2017-03-21,1121.3,1047.5,1125.5,1043.9,92590.0,7.04
2017-03-22,1044.7,1121.3,1121.9,997.8,115290.0,-6.83
2017-03-23,1035.0,1044.7,1062.8,1022.0,56520.0,-0.93
2017-03-24,939.7,1035.0,1038.4,927.3,132600.0,-9.21
2017-03-25,966.3,939.7,996.0,890.4,127050.0,2.83
2017-03-26,969.4,966.3,1004.3,946.7,85330.0,0.32
2017-03-27,1045.1,969.4,1048.8,961.8,91260.0,7.81
2017-03-28,1044.4,1045.1,1068.4,1015.5,80000.0,-0.07
2017-03-29,1041.9,1044.4,1058.7,1008.3,68850.0,-0.24
2017-03-30,1037.9,1041.9,1052.7,1020.9,74990.0,-0.38
2017-03-31,1079.1,1037.9,1088.2,1035.2,90990.0,3.97
2017-04-01,1086.1,1079.1,1103.7,1067.5,50660.0,0.65
2017-04-02,1097.4,1086.1,1109.5,1074.2,70980.0,1.04
2017-04-03,1147.6,1097.4,1157.9,1095.6,98500.0,4.57
2017-04-04,1141.8,1147.6,1161.2,1122.2,71000.0,-0.5
2017-04-05,1129.9,1141.8,1143.8,1110.1,69470.0,-1.04
2017-04-06,1188.7,1129.9,1201.6,1130.5,92360.0,5.21
2017-04-07,1190.5,1188.7,1201.2,1173.2,59750.0,0.15
2017-04-08,1180.8,1190.5,1198.2,1166.7,33180.0,-0.82
2017-04-09,1204.3,1180.8,1215.1,1174.0,45350.0,2.0
2017-04-10,1206.7,1204.3,1214.9,1194.8,40010.0,0.2
2017-04-11,1220.7,1206.7,1229.6,1195.8,37400.0,1.16
2017-04-12,1212.5,1220.7,1225.5,1207.4,44780.0,-0.67
2017-04-13,1176.2,1212.5,1218.7,1150.3,66050.0,-3.0
2017-04-14,1177.3,1176.2,1195.4,1162.2,47220.0,0.1
