Date,Price,Open,High,Low,Volume,Change %
2017-01-01,8.2,8.17,8.59,8.03,144920.0,2.5
2017-01-02,8.37,8.19,8.5,8.11,101270.0,2.07
2017-01-03,9.74,8.43,9.9,8.3,603420.0,16.37
2017-01-04,11.0,9.57,11.1,9.44,556250.0,12.94
2017-01-05,10.15,11.16,11.7,9.2,490640.0,-7.73
2017-01-06,10.08,10.23,10.4,9.47,144690.0,-0.69
2017-01-07,9.84,10.09,10.19,9.48,107330.0,-2.38
2017-01-08,10.28,9.8,10.48,9.8,116550.0,4.47
2017-01-09,10.26,10.43,10.84,9.5,165980.0,-0.19
2017-01-10,10.61,10.43,10.75,10.2,96970.0,3.41
2017-01-11,9.79,10.61,10.7,9.41,159090.0,-7.73
2017-01-12,9.83,9.48,10.04,9.08,120950.0,0.41
2017-01-13,9.67,9.83,9.83,9.39,39760.0,-1.63
2017-01-14,9.67,9.72,9.87,9.51,17440.0,0.0
2017-01-15,9.81,9.67,9.83,9.6,16890.0,1.45
2017-01-16,9.61,9.72,9.78,9.55,16030.000000000002,-2.04
2017-01-17,10.12,9.54,10.6,9.53,237840.0,5.31
2017-01-18,10.19,10.3,10.49,9.74,99390.0,0.69
2017-01-19,10.38,10.31,10.51,10.15,50640.0,1.86
2017-01-20,10.62,10.38,10.75,10.3,63550.0,2.31
2017-01-21,10.95,10.64,11.09,10.56,125310.0,3.11
2017-01-22,10.64,10.91,10.98,10.34,140660.0,-2.83
2017-01-23,10.77,10.64,10.83,10.59,54390.0,1.22
2017-01-24,10.5,10.58,10.75,10.46,105210.0,-2.51
2017-01-25,10.48,10.52,10.58,10.35,26190.0,-0.19
2017-01-26,10.63,10.49,10.63,10.43,84720.0,1.43
2017-01-27,10.5,10.52,10.58,10.36,61250.0,-1.22
2017-01-28,10.51,10.5,10.54,10.35,102560.0,0.1
2017-01-29,10.46,10.49,10.51,10.38,38280.0,-0.48
2017-01-30,10.53,10.44,10.69,10.38,107000.0,0.67
2017-01-31,10.71,10.5,10.74,10.38,250340.0,1.71
2017-02-01,10.71,10.71,10.77,10.41,113790.0,0.0
2017-02-02,10.8,10.71,10.84,10.53,149420.0,0.84
2017-02-03,10.93,10.78,10.93,10.55,102560.0,1.2
2017-02-04,11.32,11.0,11.4,11.0,158070.0,3.57
2017-02-05,11.18,11.32,11.37,11.05,48070.0,-1.24
2017-02-06,11.32,11.18,11.33,11.12,69660.0,1.25
2017-02-07,11.41,11.31,11.5,11.25,116310.0,0.8
2017-02-08,11.35,11.45,11.6,11.0,78890.0,-0.53
2017-02-09,10.9,11.35,11.51,10.41,205680.0,-3.96
2017-02-10,11.3,10.95,11.39,10.75,141080.0,3.67
2017-02-11,11.33,11.27,11.38,11.13,73260.0,0.27
2017-02-12,11.26,11.33,11.4,11.22,35220.0,-0.62
2017-02-13,11.35,11.33,11.37,11.05,59340.0,0.8
2017-02-14,12.96,11.32,13.4,11.32,613950.0,14.19
2017-02-15,12.92,13.02,13.15,12.59,302770.0,-0.31
2017-02-16,12.92,12.92,12.99,12.57,116460.0,0.0
2017-02-17,12.76,12.92,12.92,12.6,86680.0,-1.24
2017-02-18,12.79,12.76,12.9,12.7,67300.0,0.24
2017-02-19,12.8,12.79,12.94,12.7,54510.0,0.08
2017-02-20,12.4,12.8,12.91,12.4,91260.0,-3.13
2017-02-21,12.82,12.4,12.89,12.25,174100.0,3.39
2017-02-22,12.68,12.82,12.85,12.6,47570.0,-1.09
2017-02-23,13.27,12.68,13.37,12.6,168680.0,4.65
2017-02-24,13.11,13.27,13.31,12.7,145360.0,-1.21
2017-02-25,13.55,13.11,13.8,13.05,223070.0,3.36
2017-02-26,14.57,13.55,14.66,13.3,284670.0,7.53
2017-02-27,15.5,14.57,15.75,14.3,469290.0,6.38
2017-02-28,15.86,15.5,16.23,15.18,616600.0,2.32
2017-03-01,17.43,15.86,17.49,15.62,343430.0,9.9
2017-03-02,19.02,17.43,19.45,16.3,903090.0,9.12
2017-03-03,19.49,19.02,20.73,18.43,981000.0,2.47
2017-03-04,18.5,19.49,20.0,18.4,331950.0,-5.08
2017-03-05,19.35,18.5,19.45,18.15,226390.0,4.59
2017-03-06,19.51,19.35,20.23,19.14,316910.0,0.83
2017-03-07,18.88,19.51,19.67,18.5,228660.0,-3.23
2017-03-08,16.51,18.88,18.88,16.51,562050.0,-12.55
2017-03-09,17.75,16.51,18.0,16.25,281600.0,7.51
2017-03-10,19.18,17.75,19.7,16.5,824860.0,8.06
2017-03-11,21.3,19.18,21.45,18.83,661770.0,11.05
2017-03-12,23.2,21.3,23.23,21.05,786850.0,8.92
2017-03-13,28.4,23.2,30.6,23.2,1780000.0,22.41
2017-03-14,28.66,28.4,29.93,27.0,701890.0,0.92
2017-03-15,34.8,28.66,34.8,28.36,1360000.0,21.42
2017-03-16,45.07,34.8,46.21,34.8,3060000.0,29.51
2017-03-17,44.65,45.07,51.88,32.84,3390000.0,-0.93
2017-03-18,34.2,44.65,44.99,31.1,2120000.0,-23.4
2017-03-19,43.17,34.2,45.69,34.1,1690000.0,26.23
2017-03-20,42.06,43.17,45.13,39.47,875000.0,-2.57
2017-03-21,42.45,42.06,43.7,41.15,462960.0,0.93
2017-03-22,41.46,42.45,42.95,38.51,488530.0,-2.33
2017-03-23,43.14,41.46,44.75,40.22,523650.0,4.05
2017-03-24,54.01,43.14,58.99,42.5,1640000.0,25.2
2017-03-25,50.75,54.01,54.9,47.46,1150000.0,-6.04
2017-03-26,50.46,50.75,51.8,46.55,461990.0,-0.57
2017-03-27,48.93,50.46,52.01,47.67,389870.0,-3.03
2017-03-28,50.16,48.93,50.6,47.95,453920.0,2.51
2017-03-29,52.88,50.16,54.3,49.4,685320.0,5.42
2017-03-30,51.62,52.88,53.28,50.75,373980.0,-2.38
2017-03-31,49.72,51.62,51.83,46.82,784700.0,-3.68
2017-04-01,50.59,49.72,51.87,48.7,386430.0,1.75
2017-04-02,48.6,50.59,51.59,47.7,784600.0,-3.93
2017-04-03,44.28,48.6,48.6,42.77,1170000.0,-8.89
2017-04-04,44.41,44.28,45.69,41.05,762880.0,0.29
2017-04-05,45.35,44.41,47.53,44.19,564400.0,2.12
2017-04-06,43.11,45.35,46.03,41.25,649410.0,-4.94
2017-04-07,42.25,43.11,44.53,41.78,277520.0,-1.99
2017-04-08,44.51,42.25,45.76,42.25,363840.0,5.35
2017-04-09,43.94,44.51,44.86,43.18,177310.0,-1.28
2017-04-10,44.17,43.94,44.76,43.01,218120.0,0.52
2017-04-11,44.21,44.17,44.8,43.8,113370.0,0.09
2017-04-12,46.85,44.21,48.47,43.84,537210.0,5.97
2017-04-13,50.65,46.85,51.51,46.85,520860.0,8.11
2017-04-14,48.5,50.65,50.65,47.34,394470.0,-4.24
2017-04-15,49.71,48.5,50.48,47.95,332290.0,2.49
2017-04-16,49.58,49.71,49.9,48.87,64040.00000000001,-0.26
2017-04-17,49.52,49.58,50.27,48.88,170640.0,-0.12
2017-04-18,52.42,49.52,53.0,49.07,643620.0,5.86
2017-04-19,49.66,52.42,53.0,45.0,460600.0,-5.27
2017-04-20,51.96,49.66,52.45,48.6,347610.0,4.63
2017-04-21,51.37,51.96,52.27,51.1,156430.0,-1.14
2017-04-22,52.15,51.37,52.78,51.03,125320.0,1.52
2017-04-23,53.33,52.15,54.44,51.75,186860.0,2.26
2017-04-24,53.54,53.33,54.48,53.0,202960.0,0.39
2017-04-25,53.9,53.54,54.21,53.25,97440.0,0.67
2017-04-26,57.31,53.9,58.38,53.66,530340.0,6.33
2017-04-27,68.0,57.31,68.0,56.92,526520.0,18.65
2017-04-28,76.0,68.0,77.4,66.0,959410.0,11.76
2017-04-29,73.55,76.0,77.6,71.2,474760.0,-3.22
2017-04-30,83.51,73.55,84.0,72.6,492640.0,13.54
2017-05-01,81.4,83.51,88.1,66.0,1260000.0,-2.53
2017-05-02,82.01,81.4,85.18,79.49,361700.0,0.75
2017-05-03,85.79,82.01,86.62,81.0,357120.0,4.61
2017-05-04,99.2,85.79,99.78,84.61,822130.0,15.63
2017-05-05,91.5,99.2,101.7,88.2,718170.0,-7.76
2017-05-06,96.65,91.5,96.84,90.53,243520.0,5.63
2017-05-07,94.21,96.65,98.0,90.89,219190.0,-2.52
2017-05-08,88.97,94.21,95.48,88.11,349340.0,-5.56
2017-05-09,88.94,88.97,91.1,77.76,703650.0,-0.03
2017-05-10,88.33,88.94,92.46,86.6,195510.0,-0.69
2017-05-11,89.38,88.33,91.5,87.35,210470.0,1.19
2017-05-12,86.99,89.38,92.0,83.85,283230.0,-2.67
2017-05-13,89.9,86.99,89.99,84.5,106010.0,3.35
2017-05-14,90.37,89.9,91.92,88.11,173210.0,0.52
2017-05-15,92.56,90.37,95.17,90.37,403460.0,2.42
2017-05-16,88.17,92.56,93.48,85.43,193410.0,-4.74
2017-05-17,89.67,88.17,90.93,83.77,174840.0,1.7
2017-05-18,98.6,89.67,98.89,89.42,437250.0,9.96
2017-05-19,124.4,98.6,129.25,98.31,900720.0,26.17
2017-05-20,123.03,124.4,128.95,119.54,429970.0,-1.1
2017-05-21,146.14,123.03,146.4,122.32,769980.0,18.78
2017-05-22,154.92,146.14,190.0,136.8,1650000.0,6.01
2017-05-23,168.24,154.92,174.3,148.6,507160.0,8.6
2017-05-24,183.88,168.24,197.41,166.33,645090.0,9.3
2017-05-25,168.71,183.88,206.06,155.0,862960.0,-8.25
2017-05-26,152.8,168.71,187.0,143.64,649590.0,-9.43
2017-05-27,149.99,152.8,161.0,110.42,1260000.0,-1.84
2017-05-28,161.91,149.99,172.79,149.66,643590.0,7.95
2017-05-29,189.99,161.91,191.3,155.01,472380.0,17.34
2017-05-30,224.69,189.99,229.98,182.0,757870.0,18.26
2017-05-31,218.34,224.69,230.55,200.9,584480.0,-2.83
2017-06-01,211.4,218.34,227.32,196.0,453560.0,-3.18
2017-06-02,214.77,211.4,219.21,208.23,152450.0,1.59
2017-06-03,217.01,214.77,217.99,210.01,96060.0,1.04
2017-06-04,241.06,217.01,245.98,216.1,375990.0,11.08
2017-06-05,242.16,241.06,244.29,231.72,202570.0,0.46
2017-06-06,261.89,242.16,264.99,238.23,412070.0,8.15
2017-06-07,250.7,261.89,263.7,241.01,253510.0,-4.27
2017-06-08,256.95,250.7,258.93,242.04,147190.0,2.49
2017-06-09,278.41,256.95,279.9,256.95,271540.0,8.35
2017-06-10,325.88,278.41,341.94,278.26,564750.0,17.05
2017-06-11,336.33,325.88,347.0,310.0,503720.0,3.21
2017-06-12,386.9,336.33,412.21,297.0,1170000.0,15.04
2017-06-13,382.7,386.9,395.0,345.61,442310.0,-1.09
2017-06-14,335.95,382.7,385.73,315.0,593560.0,-12.22
2017-06-15,338.7,335.95,344.0,265.0,1150000.0,0.82
2017-06-16,348.44,338.7,355.51,305.22,347870.0,2.88
2017-06-17,364.56,348.44,366.08,332.0,219770.0,4.63
2017-06-18,348.88,364.56,377.46,336.89,283220.0,-4.3
2017-06-19,355.5,348.88,362.5,344.13,174450.0,1.9
2017-06-20,344.15,355.5,366.52,328.0,342670.0,-3.19
2017-06-21,321.66,344.15,348.5,287.11,642800.0,-6.53
2017-06-22,320.94,321.66,328.99,305.0,351820.0,-0.22
2017-06-23,324.37,320.94,329.9,316.36,105600.0,1.07
2017-06-24,296.89,324.37,327.55,291.53,195470.0,-8.47
2017-06-25,277.0,296.89,306.39,253.2,508550.0,-6.7
2017-06-26,251.3,277.0,286.85,214.99,1360000.0,-9.28
2017-06-27,279.0,251.3,279.0,204.11,1090000.0,11.02
2017-06-28,311.62,279.0,318.27,255.0,910350.0,11.69
2017-06-29,285.3,311.62,318.27,276.0,620080.0,-8.45
2017-06-30,275.62,285.3,301.9,267.35,386780.0,-3.39
2017-07-01,255.0,275.62,277.63,238.0,716320.0,-7.48
2017-07-02,277.64,255.0,285.91,242.81,488520.0,8.88
2017-07-03,273.99,277.64,283.98,266.45,336350.0,-1.31
2017-07-04,266.68,273.99,283.0,260.0,425000.0,-2.67
2017-07-05,264.77,266.68,272.12,249.53,436760.0,-0.72
2017-07-06,265.35,264.77,273.0,258.37,240420.0,0.22
2017-07-07,238.38,265.35,265.8,233.84,496510.0,-10.16
2017-07-08,245.23,238.38,246.66,226.68,365160.0,2.87
2017-07-09,234.97,245.23,249.0,234.15,201470.0,-4.18
2017-07-10,202.0,234.97,238.01,187.5,1010000.0,-14.03
2017-07-11,188.63,202.0,215.0,169.0,1560000.0,-6.62
2017-07-12,223.92,188.63,225.0,177.78,1090000.0,18.71
2017-07-13,205.0,223.92,224.99,189.46,842980.0,-8.45
