Date,Price,Open,High,Low,Volume,Change %
2020-07-13,1.279,1.009,1.279,1.009,,26.71
2020-07-14,1.115,1.279,1.279,1.114,,-12.78
2020-07-15,1.383,1.115,1.384,1.115,,24.0
2020-07-21,1.004,0.874,1.005,0.874,,-27.41
2020-07-22,1.046,1.004,1.087,1.003,,4.17
2020-07-23,1.044,1.046,1.087,1.005,,-0.14
2020-07-25,1.274,0.986,1.379,0.986,,22.02
2020-07-26,1.61,1.274,1.61,1.249,,26.34
2020-07-27,1.731,1.61,2.067,1.61,,7.49
2020-07-28,1.787,1.731,1.821,1.63,,3.24
2020-07-29,1.65,1.787,2.051,1.618,,-7.67
2020-07-30,1.67,1.649,1.785,1.649,,1.21
2020-07-31,1.555,1.67,1.67,1.554,,-6.85
2020-08-01,1.617,1.555,1.649,1.495,,3.97
2020-08-02,1.716,1.617,1.717,1.436,,6.13
2020-08-03,1.786,1.716,1.83,1.682,,4.08
2020-08-04,1.896,1.786,1.933,1.786,,6.14
2020-08-05,1.784,1.896,1.896,1.783,,-5.92
2020-08-06,2.178,1.784,2.178,1.783,,22.08
2020-08-07,2.051,2.178,2.178,1.895,,-5.83
2020-08-08,2.5,2.051,2.601,2.012,,21.93
2020-08-09,2.706,2.5,2.706,2.31,,8.22
2020-08-10,3.184,2.706,3.313,2.5,,17.67
2020-08-11,3.445,3.184,3.445,2.772,,8.21
2020-08-12,3.728,3.445,3.88,3.183,,8.21
2020-08-13,3.728,3.728,4.12,3.585,,0.0
2020-08-14,3.377,3.728,3.729,3.377,,-9.4
2020-08-15,3.179,3.377,3.655,3.179,,-5.87
2020-08-16,3.378,3.179,3.445,3.179,,6.26
2020-08-17,3.121,3.378,3.378,3.121,,-7.63
2020-08-18,3.378,3.121,3.585,2.9,,8.26
2020-08-19,2.942,3.378,3.445,2.883,,-12.9
2020-08-20,3.184,2.942,3.377,2.939,,8.2
2020-08-21,2.94,3.184,3.184,2.94,,-7.66
2020-08-22,3.06,2.94,3.184,2.717,,4.09
2020-08-23,3.312,3.06,3.379,3.059,,8.23
2020-08-24,3.31,3.312,3.585,3.246,,-0.07
2020-08-25,3.265,3.31,3.312,3.064,,-1.34
2020-08-26,3.563,3.265,3.784,3.199,,9.1
2020-08-27,3.442,3.563,3.796,3.336,,-3.39
2020-08-28,4.008,3.442,4.234,3.442,,16.44
2020-08-29,3.979,4.008,4.079,3.802,,-0.71
2020-08-30,4.439,3.979,4.575,3.925,,11.55
2020-08-31,4.758,4.439,4.843,4.158,,7.2
2020-09-01,4.327,4.758,4.934,4.327,,-9.06
2020-09-02,4.151,4.327,4.355,3.826,,-4.08
2020-09-03,3.526,4.151,4.312,3.526,,-15.06
2020-09-04,3.544,3.526,3.782,3.194,,0.53
2020-09-05,2.538,3.544,3.624,2.408,,-28.4
2020-09-06,3.068,2.538,3.14,2.333,,20.89
2020-09-07,2.921,3.068,3.15,2.417,,-4.79
2020-09-08,2.476,2.921,2.925,2.409,,-15.23
2020-09-09,3.614,2.476,3.674,2.391,,45.98
2020-09-10,3.461,3.614,3.843,3.314,,-4.25
2020-09-11,3.428,3.461,3.487,3.053,,-0.94
2020-09-12,3.336,3.428,3.449,3.16,,-2.68
2020-09-13,3.245,3.336,3.361,3.032,,-2.72
2020-09-14,3.272,3.245,3.442,3.106,,0.82
2020-09-15,2.926,3.272,3.303,2.922,,-10.57
2020-09-16,2.55,2.926,2.926,2.449,,-12.86
2020-09-17,2.894,2.55,2.925,2.459,,13.49
2020-09-18,3.1,2.894,3.136,2.763,,7.14
2020-09-19,3.017,3.1,3.243,2.972,,-2.7
2020-09-20,2.877,3.017,3.017,2.712,,-4.62
2020-09-21,2.776,2.877,3.001,2.49,,-3.51
2020-09-22,2.926,2.776,2.971,2.757,,5.41
2020-09-23,2.842,2.926,3.036,2.786,,-2.9
2020-09-24,3.142,2.842,3.235,2.815,,10.56
2020-09-25,3.194,3.142,3.237,2.916,,1.68
2020-09-26,3.129,3.194,3.202,3.053,,-2.05
2020-09-27,3.159,3.129,3.159,3.011,,0.96
2020-09-28,2.945,3.159,3.172,2.945,,-6.78
2020-09-29,2.952,2.945,3.006,2.906,,0.24
2020-09-30,2.889,2.952,2.985,2.845,,-2.14
2020-10-01,2.859,2.889,2.976,2.688,,-1.04
2020-10-02,2.619,2.859,2.859,2.464,,-8.38
2020-10-03,2.554,2.619,2.658,2.554,,-2.5
2020-10-04,2.517,2.554,2.575,2.432,,-1.41
2020-10-05,2.659,2.517,2.667,2.475,,5.6
2020-10-06,2.166,2.659,2.659,2.157,,-18.51
2020-10-07,2.292,2.166,2.329,2.108,,5.78
2020-10-08,2.365,2.292,2.435,2.036,,3.2
2020-10-09,2.546,2.365,2.602,2.321,,7.65
2020-10-10,2.405,2.546,2.596,2.405,,-5.52
2020-10-11,2.417,2.405,2.448,2.351,,0.5
2020-10-12,2.581,2.417,2.679,2.417,,6.78
2020-10-13,2.404,2.581,2.581,2.354,,-6.84
2020-10-14,2.309,2.404,2.432,2.251,,-3.94
2020-10-15,2.275,2.309,2.333,2.226,,-1.49
2020-10-16,2.148,2.275,2.275,2.13,,-5.61
2020-10-17,2.196,2.148,2.231,2.142,,2.25
2020-10-18,2.203,2.196,2.246,2.187,,0.31
2020-10-19,2.057,2.203,2.203,2.056,,-6.6
2020-10-20,1.89,2.057,2.094,1.863,,-8.16
2020-10-21,1.891,1.89,2.03,1.863,,0.08
2020-10-22,1.954,1.891,2.078,1.891,,3.34
2020-10-23,1.956,1.954,1.982,1.863,,0.1
2020-10-24,1.914,1.956,1.959,1.894,,-2.16
2020-10-25,1.787,1.914,1.914,1.775,,-6.62
2020-10-26,1.692,1.787,1.857,1.635,,-5.33
2020-10-27,1.712,1.692,1.739,1.623,,1.21
2020-10-28,1.512,1.712,1.715,1.475,,-11.72
2020-10-29,1.427,1.512,1.565,1.426,,-5.57
2020-10-30,1.429,1.427,1.445,1.353,,0.12
2020-10-31,1.545,1.429,1.548,1.429,,8.12
2020-11-01,1.604,1.545,1.635,1.526,,3.78
2020-11-02,1.481,1.604,1.632,1.475,,-7.64
2020-11-03,1.418,1.481,1.481,1.418,,-4.26
2020-11-04,1.397,1.418,1.418,1.298,,-1.46
2020-11-05,1.4,1.397,1.471,1.311,,0.21
2020-11-06,1.911,1.4,1.921,1.4,,36.5
2020-11-07,2.505,1.911,2.505,1.911,,31.05
2020-11-08,2.152,2.505,2.51,1.551,,-14.08
2020-11-09,2.025,2.152,2.175,1.988,,-5.89
2020-11-10,2.261,2.025,2.306,2.019,,11.61
2020-11-11,2.002,2.261,2.287,2.002,,-11.45
2020-11-12,1.895,2.002,2.049,1.842,,-5.34
2020-11-13,2.019,1.895,2.042,1.895,,6.58
2020-11-14,1.928,2.019,2.024,1.893,,-4.53
2020-11-15,2.033,1.928,2.188,1.928,,5.43
2020-11-16,2.255,2.033,2.345,2.008,,10.93
2020-11-17,2.203,2.255,2.313,2.142,,-2.31
2020-11-18,2.124,2.203,2.204,2.031,,-3.59
2020-11-19,2.073,2.124,2.174,2.029,,-2.4
2020-11-20,2.104,2.073,2.221,2.061,,1.5
2020-11-21,2.393,2.104,2.495,2.05,,13.74
2020-11-22,2.157,2.393,2.393,2.108,,-9.85
2020-11-23,2.274,2.157,2.341,2.129,,5.44
2020-11-24,2.276,2.274,2.437,2.172,,0.07
2020-11-25,2.274,2.276,2.482,2.202,,-0.1
2020-11-26,1.901,2.274,2.29,1.747,,-16.39
2020-11-27,1.857,1.901,1.96,1.79,,-2.3
2020-11-28,1.888,1.857,1.928,1.811,,1.66
2020-11-29,1.909,1.888,1.939,1.862,,1.09
2020-11-30,1.967,1.909,1.999,1.909,,3.03
2020-12-01,1.978,1.967,2.131,1.943,,0.57
2020-12-02,2.116,1.978,2.168,1.972,,6.98
2020-12-03,2.096,2.116,2.21,2.082,,-0.94
2020-12-04,1.857,2.096,2.108,1.857,,-11.37
2020-12-05,1.974,1.857,1.974,1.847,,6.25
2020-12-06,1.85,1.974,1.977,1.82,,-6.26
2020-12-07,1.827,1.85,1.892,1.818,,-1.25
2020-12-08,1.682,1.827,1.827,1.675,,-7.95
2020-12-09,1.666,1.682,1.682,1.532,,-0.95
2020-12-10,1.58,1.666,1.666,1.556,,-5.17
2020-12-11,1.449,1.58,1.58,1.449,,-8.25
2020-12-12,1.499,1.449,1.533,1.449,,3.46
2020-12-13,1.566,1.499,1.639,1.468,,4.45
2020-12-14,1.594,1.566,1.614,1.528,,1.78
2020-12-15,1.755,1.594,1.785,1.592,,10.13
2020-12-16,1.785,1.755,1.785,1.636,,1.68
2020-12-17,1.676,1.785,1.791,1.664,,-6.11
2020-12-18,1.696,1.676,1.7,1.647,,1.17
2020-12-19,1.667,1.696,1.754,1.667,,-1.68
2020-12-20,1.564,1.667,1.681,1.541,,-6.17
2020-12-21,1.54,1.564,1.614,1.43,,-1.56
2020-12-22,1.493,1.54,1.569,1.48,,-3.01
2020-12-23,1.199,1.493,1.501,1.139,,-19.71
2020-12-24,1.358,1.199,1.38,1.199,,13.25
2020-12-25,1.443,1.358,1.447,1.352,,6.23
2020-12-26,1.326,1.443,1.444,1.321,,-8.12
2020-12-27,1.306,1.326,1.385,1.286,,-1.49
2020-12-28,1.515,1.306,1.515,1.306,,16.04
2020-12-29,1.673,1.515,1.7,1.445,,10.4
2020-12-30,1.534,1.673,1.673,1.534,,-8.3
2020-12-31,1.514,1.534,1.546,1.437,,-1.3
2021-01-01,1.837,1.514,1.837,1.507,,21.34
2021-01-02,1.796,1.837,1.986,1.733,,-2.22
2021-01-03,2.161,1.796,2.295,1.796,,20.27
2021-01-04,2.489,2.161,2.489,1.945,,15.18
2021-01-05,2.155,2.489,2.489,2.093,,-13.39
2021-01-06,1.934,2.155,2.165,1.934,,-10.29
2021-01-07,2.359,1.934,2.412,1.934,,22.0
2021-01-08,3.889,2.359,3.889,2.184,,64.83
2021-01-09,3.0,3.889,3.889,2.9,,-22.85
2021-01-10,3.053,3.0,3.7,3.0,,1.76
2021-01-11,3.107,3.053,3.154,2.616,,1.77
2021-01-12,3.631,3.107,3.831,3.088,,16.88
2021-01-13,3.517,3.631,3.631,3.313,,-3.14
2021-01-14,3.284,3.517,3.543,3.208,,-6.63
2021-01-15,3.3,3.284,3.425,3.0,,0.48
2021-01-16,3.449,3.3,3.68,3.3,,4.5
2021-01-17,3.827,3.449,3.963,3.362,,10.99
2021-01-18,3.784,3.827,4.111,3.02,,-1.13
2021-01-19,3.647,3.784,3.996,3.622,,-3.62
2021-01-20,3.723,3.647,3.726,3.382,,2.08
2021-01-21,2.985,3.723,3.723,2.985,,-19.83
2021-01-22,3.339,2.985,3.485,2.661,,11.87
2021-01-23,3.501,3.339,3.583,3.328,,4.85
2021-01-24,3.624,3.501,3.78,3.501,,3.51
2021-01-25,3.72,3.624,3.953,3.473,,2.64
2021-01-26,4.037,3.72,4.062,3.714,,8.53
2021-01-27,3.688,4.037,4.037,3.652,,-8.64
2021-01-28,3.819,3.688,3.907,3.62,,3.54
2021-01-29,3.842,3.819,3.871,3.638,,0.6
2021-01-30,4.232,3.842,4.271,3.797,,10.15
2021-01-31,4.268,4.232,4.781,4.197,,0.86
2021-02-01,4.622,4.268,4.622,4.128,,8.29
2021-02-02,5.257,4.622,5.335,4.489,,13.75
2021-02-03,5.719,5.257,5.77,5.097,,8.77
2021-02-04,6.42,5.722,6.511,5.61,,12.26
2021-02-05,6.5,6.421,7.077,4.848,,1.25
2021-02-06,6.12,6.5,6.89,5.788,,-5.85
2021-02-07,6.704,6.12,6.846,5.817,,9.54
2021-02-08,7.879,6.704,8.039,6.498,,17.53
2021-02-09,7.836,7.879,8.444,7.654,,-0.54
2021-02-10,8.95,7.836,9.06,7.557,,14.21
2021-02-11,9.185,8.95,10.1,8.875,,2.63
2021-02-12,9.21,9.185,9.914,9.08,,0.27
2021-02-13,8.669,9.21,9.488,8.669,,-5.87
2021-02-14,8.735,8.669,9.116,8.604,,0.76
2021-02-15,8.846,8.735,9.29,7.904,,1.27
2021-02-16,8.3,8.846,8.899,8.081,,-6.17
2021-02-17,8.236,8.3,8.41,7.634,,-0.77
2021-02-18,8.984,8.236,9.17,8.236,,9.09
2021-02-19,11.444,8.984,11.499,8.644,,27.38
2021-02-20,10.005,11.444,11.444,9.924,,-12.57
2021-02-21,11.074,10.005,11.495,10.005,,10.68
2021-02-22,14.512,11.074,14.512,9.78,,31.05
2021-02-23,15.089,14.512,16.11,12.003,,3.97
2021-02-24,17.167,15.089,20.0,14.0,,13.77
2021-02-25,14.0,17.167,17.616,14.0,,-18.45
2021-02-26,13.576,14.0,15.352,13.368,,-3.03
2021-02-27,13.215,13.576,14.45,13.157,,-2.66
2021-02-28,13.063,13.215,13.658,11.572,,-1.15
2021-03-01,14.983,13.063,15.378,13.063,,14.7
2021-03-02,13.974,14.983,15.182,13.522,,-6.73
2021-03-03,14.131,13.975,14.562,13.846,,1.12
2021-03-04,13.112,14.131,14.142,12.806,,-7.21
2021-03-05,12.572,13.112,13.112,12.218,,-4.12
2021-03-06,12.924,12.572,13.162,11.99,,2.8
2021-03-07,13.791,12.924,13.949,12.717,,6.71
2021-03-08,13.598,13.791,13.837,13.072,,-1.4
2021-03-09,14.86,13.598,14.973,13.361,,9.29
2021-03-10,14.235,14.86,14.86,14.134,,-4.21
2021-03-11,15.987,14.235,16.339,13.74,,12.31
2021-03-12,14.552,15.987,16.454,14.36,,-8.98
2021-03-13,15.37,14.552,15.37,13.896,,5.62
2021-03-14,14.555,15.37,15.37,14.38,,-5.31
2021-03-15,14.28,14.555,14.7,13.808,,-1.89
2021-03-16,13.805,14.28,14.28,13.3,,-3.33
2021-03-17,13.99,13.805,14.2,13.367,,1.34
2021-03-18,14.328,13.99,14.703,13.99,,2.41
2021-03-19,14.287,14.328,14.437,14.034,,-0.28
2021-03-20,14.27,14.287,14.838,14.202,,-0.12
2021-03-21,14.18,14.27,14.3,13.714,,-0.63
2021-03-22,14.888,14.18,16.54,14.18,,5.0
2021-03-23,14.193,14.888,15.194,14.193,,-4.67
2021-03-24,13.629,14.184,15.257,13.628,,-3.98
2021-03-25,12.988,13.629,13.629,12.679,,-4.7
2021-03-26,14.75,12.988,14.75,12.422,,13.56
2021-03-27,16.506,14.75,16.527,14.75,,11.91
2021-03-28,18.22,16.506,24.4,16.347,,10.38
2021-03-29,18.878,18.22,18.909,17.715,,3.61
2021-03-30,19.156,18.878,21.4,18.878,,1.47
2021-03-31,19.437,19.156,19.677,18.534,,1.47
2021-04-01,19.07,19.437,20.6,18.66,,-1.89
2021-04-02,19.749,19.07,19.749,18.612,,3.56
2021-04-03,22.466,19.749,23.397,19.749,,13.75
2021-04-04,23.876,22.466,25.308,22.278,,6.28
2021-04-05,22.957,23.876,24.463,22.906,,-3.85
2021-04-06,24.971,22.957,24.994,21.913,,8.77
2021-04-07,26.478,24.971,27.304,23.364,,6.04
2021-04-08,27.723,26.478,29.0,23.5,,4.7
2021-04-10,26.79,27.377,27.377,26.046,,-3.37
2021-04-11,27.812,26.79,28.471,25.726,,3.81
2021-04-12,28.547,27.812,29.45,27.043,,2.64
2021-04-13,27.75,28.547,29.5,25.274,,-2.79
2021-04-14,26.465,27.75,31.0,24.962,,-4.63
2021-04-15,27.001,26.465,27.626,25.4,,2.03
2021-04-16,25.342,27.001,27.891,25.096,,-6.15
2021-04-17,25.096,25.342,26.497,25.096,,-0.97
2021-04-18,28.3,25.096,32.98,22.698,,12.77
2021-04-19,28.8,28.3,35.497,28.3,,1.77
2021-04-20,31.752,28.8,32.232,26.0,,10.25
2021-04-21,32.536,31.752,34.819,30.549,,2.47
2021-04-22,39.015,32.536,40.262,32.536,,19.91
2021-04-23,36.006,39.015,41.0,31.0,,-7.71
2021-04-24,40.849,36.006,42.06,35.135,,13.45
2021-04-25,47.466,40.849,48.085,40.0,,16.2
2021-04-26,44.5,47.466,48.36,43.504,,-6.25
2021-04-27,43.253,44.5,46.167,42.83,,-2.8
2021-04-28,44.97,43.253,46.245,41.448,,3.97
2021-04-29,42.637,44.97,45.365,41.762,,-5.19
2021-04-30,42.586,42.614,42.614,42.586,,-0.12
