Semana,Lucro Jogador,Lucro Bot
1,00.00,00.00
2,0.00,0.00
3,0.00,0.00
4,0.00,204.31
5,0.00,340.64
6,0.00,502.50
7,0.00,502.50
8,0.00,-306.95
9,0.00,-2130.05
10,0.00,-831.13
11,0.00,-8261.34
12,0.00,-23841.65
13,0.00,-21373.03
14,0.00,-21448.60
15,0.00,-19207.23
16,0.00,-20200.50
17,0.00,-19024.89
18,0.00,-19024.89
19,0.00,-20547.72
20,0.00,-20663.04
21,0.00,-20663.04
22,0.00,-21318.23
23,0.00,-18594.07
24,0.00,-17918.61
25,0.00,-20656.93
26,0.00,-20863.90
27,0.00,-21234.67
28,0.00,-21234.67
29,0.00,-21234.67
30,0.00,-20919.70
31,0.00,-18466.40
32,0.00,-18314.68
33,0.00,-19333.39
34,0.00,-18465.30
35,0.00,-18529.86
36,0.00,-16893.35
37,0.00,-21746.00
38,0.00,-18852.67
39,0.00,-19839.03
40,0.00,-19261.64
41,0.00,-19589.74
42,0.00,-17888.05
43,0.00,-17960.98
44,0.00,-17601.80
45,0.00,-20817.02
46,0.00,-20817.02
47,0.00,-20427.63
48,0.00,-19888.94
49,0.00,-19236.52
50,0.00,-20771.48
51,0.00,-20771.48
52,0.00,-19095.91
53,0.00,-13982.83
2,0.00,-44768.81
3,0.00,-44768.81
6,0.00,-44491.28
7,0.00,-44491.28
8,0.00,-44938.35
9,0.00,-45945.27
10,0.00,-45227.86
11,0.00,-49331.65
12,0.00,-57936.85
13,0.00,-56573.40
14,0.00,-56615.14
16,0.00,-55925.80
17,0.00,-55276.49
18,0.00,-55276.49
19,0.00,-56117.57
20,0.00,-56181.26
21,0.00,-56181.26
22,0.00,-56543.13
23,0.00,-55038.55
24,0.00,-54665.48
25,0.00,-56177.89
26,0.00,-56292.20
27,0.00,-56496.98
28,0.00,-56496.98
29,0.00,-56496.98
30,0.00,-56323.02
31,0.00,-54968.03
32,0.00,-54884.24
33,0.00,-55446.88
35,0.00,-55003.08
36,0.00,-54099.22
37,0.00,-56779.39
38,0.00,-55726.15
39,0.00,-55726.15
40,0.00,-55407.25
41,0.00,-55588.47
42,0.00,-54648.60
43,0.00,-54688.88
44,0.00,-54490.50
45,0.00,-56266.31
46,0.00,-56266.31
47,0.00,-56051.24
48,0.00,-55753.72
50,0.00,-56241.16
51,0.00,-56241.16
51,0.00,-57945.78
