Semana,predicoes,Price,Date,Mes,Ano,Variação Real (%),Variação Prevista (%)
1,6902.7993,7199.8,2020-01-01,1,2020,,
2,7700.708,8059.6,2020-01-08,1,2020,11.941998388844134,11.5592
3,8301.474,8818.3,2020-01-15,1,2020,9.413618541863112,-7.8014374
4,8326.168,8678.5,2020-01-22,1,2020,-1.5853395779231727,-0.29747486
5,8862.308,9298.9,2020-01-29,1,2020,7.148700812352371,-6.439209
6,8802.6455,9611.8,2020-02-05,2,2020,3.364914129628227,0.6732106
7,9693.615,10317.7,2020-02-12,2,2020,7.344097879689571,-10.121608
8,9617.573,9609.4,2020-02-19,2,2020,-6.864902061505962,0.78445673
9,8913.595,8800.3,2020-02-26,2,2020,-8.419880533644141,7.3197126
10,8378.261,8757.9,2020-03-04,3,2020,-0.4818017567582933,6.0058174
11,7521.7124,7935.1,2020-03-11,3,2020,-9.394946277075544,-10.22346
12,4930.2573,5361.4,2020-03-18,3,2020,-32.4343738579224,-34.45299
13,6330.016,6678.9,2020-03-25,3,2020,24.573805349349055,-28.391193
14,6127.62,6638.5,2020-04-01,4,2020,-0.6048900268008195,3.1974018
15,6907.466,7361.2,2020-04-08,4,2020,10.886495443247712,-12.726736
16,6560.883,6629.1,2020-04-15,4,2020,-9.945389338694765,5.0175133
17,6534.6436,7112.9,2020-04-22,4,2020,7.298124934003103,-0.39993525
18,7417.3594,8770.9,2020-04-29,4,2020,23.30976113821366,-13.508248
19,8591.404,9151.4,2020-05-06,5,2020,4.338209305772489,15.828335
20,8358.015,9298.7,2020-05-13,5,2020,1.6095897895403999,-2.7165473
21,9312.747,9512.3,2020-05-20,5,2020,2.2970952928903943,11.422956
22,8439.401,9199.1,2020-05-27,5,2020,-3.292579081820368,9.377962
23,9199.22,9667.2,2020-06-03,6,2020,5.088541270341662,-9.0032215
24,9322.687,9878.8,2020-06-10,6,2020,2.1888447533928934,1.3421416
25,9059.383,9464.6,2020-06-17,6,2020,-4.192816941328892,2.8243303
26,9195.181,9302.0,2020-06-24,6,2020,-1.7179806859243918,1.4989734
27,8726.66,9229.9,2020-07-01,7,2020,-0.7751021285745008,5.0952854
28,8847.359,9429.9,2020-07-08,7,2020,2.166870713658864,-1.3831139
29,8828.264,9198.7,2020-07-15,7,2020,-2.451775734631323,-0.21583438
30,8911.61,9513.7,2020-07-22,7,2020,3.4243969256525286,-0.9440899
31,10467.617,11105.9,2020-07-29,7,2020,16.735865120825743,17.460442
32,10667.984,11735.1,2020-08-05,8,2020,5.665457099379623,1.9141674
33,10857.428,11557.2,2020-08-12,8,2020,-1.5159649257356134,-1.7758131
34,11367.448,11750.2,2020-08-19,8,2020,1.669954660298334,-4.69743
