Semana,predicoes,Price,Date,Mes,Ano,Variação Real (%),Variação Prevista (%)
1,1259.1471,1238.5614285714287,2023-01-01,1,2023,,
2,1379.287,1392.9742857142858,2023-01-08,1,2023,12.467113344629066,9.5413685
3,1597.3605,1577.5342857142857,2023-01-15,1,2023,13.249347234386445,15.810596
4,1648.673,1599.1614285714284,2023-01-22,1,2023,1.3709459789870815,3.2123327
5,1655.2834,1630.32,2023-01-29,1,2023,1.9484319013626017,0.40096045
6,1661.075,1594.722857142857,2023-02-05,2,2023,-2.183445143109508,0.34987926
7,1622.9818,1611.2014285714286,2023-02-12,2,2023,1.0333188211834488,-2.2932827
8,1708.5358,1648.7157142857143,2023-02-19,2,2023,2.3283423815945614,5.271411
9,1665.4216,1618.4342857142858,2023-02-26,2,2023,-1.836667674666248,-2.523458
10,1569.3308,1508.7757142857142,2023-03-05,3,2023,-6.775596167018572,-5.769759
11,1676.2854,1689.4142857142856,2023-03-12,3,2023,11.972526447649612,6.8153024
12,1812.2186,1765.0685714285714,2023-03-19,3,2023,4.478136970547708,8.109188
13,1814.4153,1784.3714285714286,2023-03-26,3,2023,1.0936038098074752,0.121212006
14,1893.2858,1852.857142857143,2023-04-02,4,2023,3.8380862408531113,4.3468833
15,1972.9852,1968.3400000000001,2023-04-09,4,2023,6.2326908249807245,4.20959
16,2073.5286,1985.6885714285713,2023-04-16,4,2023,0.8813808299669379,5.0959945
17,1917.6227,1877.6685714285716,2023-04-23,4,2023,-5.439926560200048,-7.5188694
18,1937.9514,1891.5685714285714,2023-04-30,4,2023,0.7402797390076321,1.0601044
19,1896.3258,1828.9885714285715,2023-05-07,5,2023,-3.308365392893875,-2.147919
20,1855.7909,1813.5957142857144,2023-05-14,5,2023,-0.8416048838858603,-2.1375477
21,1863.9308,1819.9242857142858,2023-05-21,5,2023,0.3489516091552902,0.43861866
22,1926.0647,1890.8714285714286,2023-05-28,5,2023,3.898356839020778,3.3334851
23,1904.7317,1836.4514285714286,2023-06-04,6,2023,-2.8780380927916904,-1.1075974
24,1766.2556,1714.09,2023-06-11,6,2023,-6.66292757149659,-7.2701097
25,1844.308,1825.5442857142857,2023-06-18,6,2023,6.502242339333741,4.4190884
26,1921.5149,1883.6442857142858,2023-06-25,6,2023,3.1826124654799726,4.186225
27,1960.9889,1903.472857142857,2023-07-02,7,2023,1.052670696848268,2.0543218
28,1944.3359,1909.68,2023-07-09,7,2023,0.3260956852550123,-0.8492112
29,1954.1484,1895.5928571428572,2023-07-16,7,2023,-0.7376703351945291,0.5046725
30,1914.5273,1869.2371428571428,2023-07-23,7,2023,-1.3903678833987132,-2.0275354
31,1902.4375,1847.8714285714286,2023-07-30,7,2023,-1.143017854495254,-0.6314814
32,1889.8348,1846.0385714285715,2023-08-06,8,2023,-0.09918748212228712,-0.662446
33,1840.9358,1762.55,2023-08-13,8,2023,-4.522580011097121,-2.5874794
34,1707.8553,1661.2485714285715,2023-08-20,8,2023,-5.7474357363722195,-7.2289586
35,1711.8248,1665.4757142857143,2023-08-27,8,2023,0.2544557707885753,0.23242235
36,1678.3545,1636.3,2023-09-03,9,2023,-1.7517946395410045,-1.955241
37,1652.0416,1610.2385714285715,2023-09-10,9,2023,-1.5927047956626805,-1.567775
38,1663.7014,1613.707142857143,2023-09-17,9,2023,0.21540729989433238,0.7057786
39,1649.1904,1621.8899999999999,2023-09-24,9,2023,0.5070843975052863,-0.87221265
40,1704.826,1655.77,2023-10-01,10,2023,2.0889209502494177,3.3735156
41,1626.441,1570.5571428571427,2023-10-08,10,2023,-5.146418714124379,-4.597831
42,1612.2441,1583.597142857143,2023-10-15,10,2023,0.8302786090468528,-0.8728802
43,1781.5072,1765.4085714285716,2023-10-22,10,2023,11.480914157460687,10.498595
44,1853.0568,1822.0028571428572,2023-10-29,10,2023,3.2057330314472,4.0162325
45,1984.2438,1974.28,2023-11-05,11,2023,8.357678598590867,7.079494
46,2068.7185,2003.0142857142855,2023-11-12,11,2023,1.4554311300466694,4.2572737
47,2063.9355,2036.542857142857,2023-11-19,11,2023,1.6739057563244009,-0.23120642
48,2105.4065,2067.31,2023-11-26,11,2023,1.5107535178664255,2.0093083
49,2308.8503,2288.27,2023-12-03,12,2023,10.688285743308935,9.662926
50,2329.7698,2258.055714285714,2023-12-10,12,2023,-1.3203986292826375,0.9060502
